+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+---------------+
| explain_sql                                                                                                                                                                                                                                                                                                                                                         | slow_count | avg_query_sec | max_query_sec |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+---------------+
| EXPLAIN SELECT         table_name,         table_type,         table_schema       FROM information_schema.tables      WHERE table_type = 'BASE TABLE' ORDER BY table_schema, table_name;                                                                                                                                                                            |          1 |        2.2109 |        2.2109 |
| EXPLAIN DO SLEEP(2);                                                                                                                                                                                                                                                                                                                                                |          1 |        2.0025 |        2.0025 |
| EXPLAIN DELETE FROM monitoring_io_stream WHERE id < (SELECT IFNULL(MAX(id)-4000,0) FROM (SELECT MAX(id) AS id FROM monitoring_io_stream) t);                                                                                                                                                                                                                        |         54 |        1.6334 |        4.8788 |
| EXPLAIN SELECT SLEEP(1.5);                                                                                                                                                                                                                                                                                                                                          |          1 |        1.5030 |        1.5030 |
| EXPLAIN SELECT     OBJECT_SCHEMA AS table_schema,     OBJECT_NAME AS table_name,     INDEX_NAME AS index_name,     COUNT_STAR AS index_access_count FROM performance_schema.table_io_waits_summary_by_index_usage WHERE OBJECT_SCHEMA = 'yeezydb'   AND INDEX_NAME IS NOT NULL   AND INDEX_NAME <> 'PRIMARY'   AND COUNT_STAR = 0 ORDER BY OBJECT_NAME, INDEX_NAME; |          1 |        1.4044 |        1.4044 |
| EXPLAIN SELECT SLEEP(1.2);                                                                                                                                                                                                                                                                                                                                          |          1 |        1.2013 |        1.2013 |
| EXPLAIN DO SLEEP(1);                                                                                                                                                                                                                                                                                                                                                |          1 |        1.0019 |        1.0019 |
| EXPLAIN UPDATE deadlock_test SET v=v+1 WHERE id=1;                                                                                                                                                                                                                                                                                                                  |          1 |        1.0015 |        1.0015 |
| EXPLAIN SHOW GLOBAL VARIABLES;                                                                                                                                                                                                                                                                                                                                      |         15 |        0.9826 |        2.3645 |
| EXPLAIN SELECT EVENT_NAME, COUNT_STAR, SUM_TIMER_WAIT 	  FROM performance_schema.events_waits_summary_global_by_event_name;                                                                                                                                                                                                                                         |         40 |        0.9023 |        3.2077 |
| EXPLAIN SELECT 		    user, 		    SUBSTRING_INDEX(host, ':', 1) AS host, 		    COALESCE(command, '') AS command, 		    COALESCE(state, '') AS state, 		    COUNT(*) AS processes, 		    SUM(time) AS seconds 		  FROM information_schema.processlist 		  WHERE ID != connection_id() 		    AND TIME >= 0 		  GROUP BY user, host, command, state;                    |         10 |        0.7580 |        1.2868 |
| EXPLAIN SHOW GLOBAL STATUS;                                                                                                                                                                                                                                                                                                                                         |          7 |        0.7536 |        0.9303 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+---------------+
